Player,Team,Salary,Year,Age,Pos,G,GS,MP,3P,3PA,2P,2PA,ORB,DRB,AST,STL,BLK,PF,PTS
107,Zach Randolph,SAC,12307692.0,2017.0,35.0,PF,73.0,5.0,1786.0,21.0,94.0,412.0,870.0,182.0,416.0,122.0,38.0,10.0,136.0,1028.0
108,Nikola Vucevic,ORL,12250000.0,2017.0,26.0,C,75.0,55.0,2163.0,23.0,75.0,460.0,956.0,176.0,603.0,208.0,77.0,74.0,180.0,1096.0
109,Solomon Hill,NOP,12236535.0,2017.0,25.0,SF,80.0,71.0,2374.0,94.0,270.0,89.0,207.0,51.0,256.0,141.0,71.0,32.0,182.0,563.0
110,Wilson Chandler,DEN,12016854.0,2017.0,29.0,SF,71.0,33.0,2197.0,110.0,326.0,323.0,613.0,103.0,356.0,141.0,52.0,30.0,172.0,1117.0
111,Jeremy Lin,BRK,12000000.0,2017.0,28.0,PG,36.0,33.0,883.0,58.0,156.0,117.0,244.0,11.0,124.0,184.0,41.0,14.0,79.0,523.0
112,Kemba Walker,CHO,12000000.0,2017.0,26.0,PG,79.0,79.0,2739.0,240.0,602.0,403.0,847.0,45.0,263.0,435.0,85.0,22.0,119.0,1830.0
113,Derrick Favors,UTA,12000000.0,2017.0,25.0,PF,50.0,39.0,1186.0,3.0,10.0,200.0,407.0,92.0,213.0,56.0,45.0,40.0,103.0,476.0
114,Austin Rivers,LAC,11825000.0,2017.0,24.0,SG,74.0,29.0,2054.0,111.0,299.0,212.0,432.0,20.0,141.0,204.0,48.0,10.0,187.0,889.0
115,Courtney Lee,NYK,11747890.0,2017.0,31.0,SG,77.0,74.0,2459.0,108.0,269.0,213.0,435.0,53.0,207.0,179.0,81.0,23.0,141.0,835.0
116,Nikola Pekovic,MIN,11600000.0,,,,,,,,,,,,,,,,,
117,Jordan Clarkson,CLE,11562500.0,2017.0,24.0,SG,82.0,19.0,2397.0,117.0,356.0,360.0,715.0,49.0,197.0,213.0,88.0,8.0,150.0,1205.0
118,John Henson,MIL,11422536.0,2017.0,26.0,C,58.0,39.0,1123.0,0.0,1.0,159.0,308.0,92.0,203.0,57.0,29.0,78.0,151.0,392.0
119,Dion Waiters,MIA,11000000.0,2017.0,25.0,SG,46.0,43.0,1384.0,85.0,215.0,196.0,448.0,18.0,136.0,200.0,41.0,20.0,95.0,729.0
120,Amir Johnson,PHI,11000000.0,2017.0,29.0,PF,80.0,77.0,1608.0,27.0,66.0,186.0,304.0,117.0,248.0,140.0,52.0,62.0,211.0,520.0
121,Jamal Crawford,ATL,10942762.0,2017.0,36.0,SG,82.0,1.0,2157.0,116.0,322.0,243.0,547.0,17.0,112.0,213.0,59.0,14.0,115.0,1008.0
122,Alec Burks,UTA,10845506.0,2017.0,25.0,SG,42.0,0.0,653.0,25.0,76.0,74.0,172.0,17.0,103.0,30.0,18.0,5.0,50.0,283.0
123,Patty Mills,SAS,10714286.0,2017.0,28.0,PG,80.0,8.0,1754.0,147.0,356.0,126.0,266.0,24.0,118.0,280.0,65.0,3.0,109.0,759.0
124,Kelly Olynyk,MIA,10607169.0,2017.0,25.0,C,75.0,6.0,1538.0,68.0,192.0,192.0,316.0,72.0,288.0,148.0,43.0,29.0,207.0,678.0
125,Omer Asik,CHI,10595505.0,2017.0,30.0,C,31.0,19.0,482.0,0.0,0.0,31.0,65.0,48.0,115.0,15.0,5.0,10.0,51.0,85.0
126,Terrence Ross,ORL,10500000.0,2017.0,25.0,SF,78.0,24.0,1955.0,142.0,391.0,184.0,355.0,18.0,189.0,88.0,88.0,33.0,143.0,858.0
127,Terrence Ross,ORL,10500000.0,2017.0,25.0,SF,54.0,0.0,1207.0,96.0,256.0,115.0,223.0,14.0,125.0,45.0,54.0,20.0,82.0,559.0
128,Terrence Ross,ORL,10500000.0,2017.0,25.0,SF,24.0,24.0,748.0,46.0,135.0,69.0,132.0,4.0,64.0,43.0,34.0,13.0,61.0,299.0
129,Mirza Teletovic,MIL,10500000.0,2017.0,31.0,PF,70.0,2.0,1133.0,104.0,305.0,52.0,113.0,11.0,151.0,48.0,12.0,13.0,109.0,451.0
130,Bojan Bogdanovic,IND,10500000.0,2017.0,27.0,SF,81.0,54.0,2083.0,144.0,392.0,232.0,453.0,37.0,240.0,111.0,34.0,7.0,146.0,1113.0
